FID,OBJECTID,SITE,PHONE,FAX,STREET,NEIGH,ZIP,geometry,city_council_id
1,0.0,Pino,635-5120,635-1874,86 Boardman St.,East Boston,2128.0,POINT (-7904889.10063913 5219411.21709764),1
2,0.0,Paris Street Pool*,635-1410,635-5079,113 Paris St.,East Boston,2128.0,POINT (-7907790.63566395 5216931.51518946),1
3,0.0,Paris Street,635-5125,635-5079,112 Paris St.,East Boston,2128.0,POINT (-7907860.77902117 5216999.99659411),1
4,0.0,Golden Age Center,635-5175,635-5647,382 Main St.,Charlestown,2129.0,POINT (-7911466.95047821 5218037.85373099),1
5,0.0,Charlestown*,635-5169,635-5084,255 Medford St.,Charlestown,2129.0,POINT (-7910468.84935071 5218222.65423483),1
6,0.0,Nazzaro,635-5166,635-5053,30 N. Bennet St.,Boston,2113.0,POINT (-7909750.411367 5215857.60719122),1
7,0.0,Quincy*,635-5129,635-5132,885 Washington St,Boston,2111.0,POINT (-7910915.35743103 5213243.90221071),2
8,0.0,Condon*,635-5100,635-5103,"200 ""D"" St.",South Boston,2127.0,POINT (-7909531.08524903 5211768.25813679),2
9,0.0,Tynan,635-5110,635-5065,650 E. Fourth St.,South Boston,2127.0,POINT (-7908015.69709043 5211238.46284065),2
10,0.0,Curley,635-5104,635-1259,1663 Columbia Rd.,South Boston,2127.0,POINT (-7907631.56350428 5210421.37009558),2
11,0.0,Vine Street,635-1285,635-1291,339 Dudley Street,Roxbury,2119.0,POINT (-7912223.69585512 5210056.16249864),7
12,0.0,Blackstone*,635-5162,635-5057,50 W. Brookline S,Boston,2118.0,POINT (-7911810.62963139 5212104.03662649),2
13,0.0,Rec. Division @ Madison Park*,635-5206,635-5078,55 Malcom X Blvd,Roxbury,2119.0,POINT (-7913616.64722016 5210794.62348973),7
14,0.0,Tobin,635-5216,635-5288,1481 Tremont St.,Roxbury,2119.0,POINT (-7914611.15562509 5210902.42604632),8
15,0.0,Hennigan*,635-5198,635-5020,200 Heath St.,Jamaica Plai,2130.0,POINT (-7915582.6331082 5209950.93675863),6
16,0.0,Shelburne,635-5213,635-5224,2730 Washington S,Roxbury,2119.0,POINT (-7913725.23095294 5209398.01347133),7
17,0.0,Holland*,635-5144,635-5152,85 Olney St.,Dorchester,2121.0,POINT (-7911879.08957177 5206948.65505094),4
18,0.0,Perkins*,635-5146,635-5274,155 Talbot Ave.,Dorchester,2124.0,POINT (-7912639.56077174 5204888.3913242),4
19,0.0,Cleveland,635-5141,635-5028,11 Charles St.,Dorchester,2122.0,POINT (-7910551.83088109 5206156.95345683),3
20,0.0,Leahy-Holloran*,635-5150,635-5298,1 Worrell St.,Dorchester,2122.0,POINT (-7909170.2840279 5205174.19284718),3
21,0.0,Gallivan,635-5252,635-5042,61 Woodruff Way,Mattapan,2126.0,POINT (-7912858.52446652 5202295.96440241),4
22,0.0,Mildred Avenue*,635-1328,635-1332,5 Mildred Ave.,Mattapan,2126.0,POINT (-7913836.53705974 5202411.89222224),5
23,0.0,Hyde Park,635-5178,635-5290,1179 River St.,Hyde Park,2136.0,POINT (-7917152.63992229 5199468.43085871),5
24,0.0,Curtis Hall*,635-5193,635-5273,20 South St.,Jamaica Plai,2130.0,POINT (-7916474.44862334 5207356.71145635),6
25,0.0,Roslindale,635-5185,635-5271,6 Cummins Hwy.,Roslindale,2131.0,POINT (-7917892.49078963 5204004.34491193),5
26,0.0,Flaherty Pool*,635-5181,635-1225,160 Florence St.,Roslindale,2131.0,POINT (-7917288.06437349 5204266.77021953),5
27,0.0,Menino,635-5256,635-5258,125 Brookway Rd.,Roslindale,2131.0,POINT (-7917058.78618174 5204878.9100671),5
28,0.0,Roche,635-5066,635-5067,1716 Centre St.,West Roxbury,2132.0,POINT (-7920304.5315603 5204058.4432373),6
29,0.0,Draper Pool*,635-5021,635-5628,5279 Washington S,West Roxbury,2132.0,POINT (-7921470.83383675 5200031.05619586),6
30,0.0,Ohrenberger,635-5183,635-5283,175 W. Boundary R,West Roxbury,2132.0,POINT (-7920322.35491823 5200131.59505478),6
31,0.0,Jackson/Mann,635-5153,635-5275,500 Cambridge St.,Allston,2134.0,POINT (-7918990.36211811 5213991.00389212),9
32,0.0,Mirabella Pool*,635-1275,---,475 Commercial St,Boston,2113.0,POINT (-7909729.57093675 5216377.88250573),1
33,0.0,Clougherty Pool*,635-5174,---,Bunker Hill St.,Charlestown,2129.0,POINT (-7911198.04154065 5218355.59110269),1
34,0.0,Grove Hall,635-1484,635-1485,51 Geneva Ave.,Roxbury,2121.0,POINT (-7912848.1021703 5207357.24973678),4
35,0.0,Mason Pool*,635-5241,635-5627,159 Norfolk Ave.,Roxbury,2118.0,POINT (-7911567.33210448 5209909.32216453),7
36,,Mattahunt,635-5159,,100 Hebron St,Mattapan,2126.0,POINT (-7915213.19887696 5202384.67957956),5
38,,New Chinatown Library,,,,,,POINT (-7910459.7567 5213500.873),2
